FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
241025;0000;11;;;
241026;0000;14;;;
241027;0000;15;;;
241028;0000;18;;;
241029;0000;15;;;
241030;0000;17;;;
241031;0000;14;;;
241101;0000;8;;;
241102;0000;9;;;
241103;0000;6;;;
241104;0000;11;;;
241105;0000;13;;;
241106;0000;15;;;
241107;0000;16;;;
241108;0000;17;;;
241109;0000;11;;;
241110;0000;7;;;
241111;0000;8;;;
241112;0000;11;;;
241113;0000;19;;;
241114;0000;17;;;
241115;0000;14;;;
241116;0000;14;;;
241117;0000;12;;;
241118;0000;13;;;
241119;0000;13;;;
241120;0000;14;;;
241121;0000;14;;;
241122;0000;10;;;
241123;0000;10;;;
241124;0000;8;;;
241125;0000;8;;;
241126;0000;9;;;
241127;0000;9;;;
241128;0000;9;;;
241129;0000;11;;;
241130;0000;12;;;
241201;0000;7;;;
241202;0000;9;;;
241203;0000;13;;;
241204;0000;17;;;
241205;0000;9;;;
241206;0000;9;;;
241207;0000;13;;;
241208;0000;8;;;
241209;0000;13;;;
241210;0000;17;;;
241211;0000;15;;;
241212;0000;11;;;
241213;0000;16;;;
241214;0000;14;;;
241215;0000;13;;;
241216;0000;13;;;
241217;0000;13;;;
241218;0000;13;;;
241219;0000;19;;;
241220;0000;23;;;
241221;0000;18;;;
241222;0000;21;;;
241223;0000;17;;;
241224;0000;13;;;
241225;0000;12;;;
241226;0000;13;;;
241227;0000;11;;;
241228;0000;8;;;
241229;0000;11;;;
241230;0000;14;;;
241231;0000;10;;;
250101;0000;12;;;
250102;0000;10;;;
250103;0000;16;;;
250104;0000;13;;;
250105;0000;13;;;
250106;0000;12;;;
250107;0000;11;;;
250108;0000;11;;;
250109;0000;11;;;
250110;0000;14;;;
250111;0000;13;;;
250112;0000;10;;;
250113;0000;11;;;
250114;0000;11;;;
250115;0000;11;;;
250116;0000;8;;;
250117;0000;9;;;
250118;0000;9;;;
250119;0000;8;;;
250120;0000;13;;;
250121;0000;15;;;
250122;0000;9;;;
250123;0000;9;;;
250124;0000;11;;;
250125;0000;15;;;
250126;0000;16;;;
250127;0000;13;;;
250128;0000;12;;;
250129;0000;16;;;
250130;0000;16;;;
250131;0000;15;;;
250201;0000;11;;;
250202;0000;10;;;
250203;0000;10;;;
250204;0000;10;;;
250205;0000;11;;;
250206;0000;10;;;
250207;0000;16;;;
250208;0000;19;;;
250209;0000;23;;;
250210;0000;15;;;
250211;0000;19;;;
250212;0000;18;;;
250213;0000;23;;;
250214;0000;16;;;
250215;0000;11;;;
250216;0000;11;;;
250217;0000;14;;;
250218;0000;16;;;
250219;0000;15;;;
250220;0000;14;;;
250221;0000;13;;;
250222;0000;10;;;
250223;0000;8;;;
250224;0000;9;;;
250225;0000;12;;;
250226;0000;16;;;
250227;0000;17;;;
250228;0000;10;;;
250301;0000;7;;;
250302;0000;5;;;
250303;0000;6;;;
250304;0000;9;;;
250305;0000;11;;;
250306;0000;9;;;
250307;0000;7;;;
250308;0000;9;;;
250309;0000;10;;;
250310;0000;14;;;
250311;0000;12;;;
250312;0000;17;;;
250313;0000;17;;;
250314;0000;13;;;
250315;0000;14;;;
250316;0000;10;;;
250317;0000;16;;;
250318;0000;16;;;
250319;0000;14;;;
250320;0000;15;;;
250321;0000;18;;;
250322;0000;14;;;
250323;0000;18;;;
250324;0000;19;;;
250325;0000;14;;;
250326;0000;22;;;
250327;0000;18;;;
250328;0000;21;;;
250329;0000;26;;;
250330;0000;6;;;
250331;0000;15;;;
250401;0000;25;;;
250402;0000;30;;;
250403;0000;23;;;
250404;0000;23;;;
250405;0000;16;;;
250406;0000;13;;;
250407;0000;21;;;
250408;0000;;;;
250409;0000;;;;
250410;0000;;;;
250411;0000;;;;
250412;0000;29;;;
250413;0000;31;;;
250414;0000;12;;;
250415;0000;16;;;
250416;0000;18;;;
250417;0000;21;;;
250418;0000;30;;;
250419;0000;26;;;
250420;0000;24;;;
250421;0000;27;;;
250422;0000;26;;;
250423;0000;21;;;
250424;0000;12;;;
250425;0000;13;;;
250426;0000;18;;;
250427;0000;24;;;
250428;0000;22;;;
250429;0000;25;;;
250430;0000;32;;;
250501;0000;38;;;
250502;0000;44;;;
250503;0000;44;;;
250504;0000;33;;;
250505;0000;36;;;
250506;0000;46;;;
250507;0000;43;;;
250508;0000;18;;;
250509;0000;32;;;
250510;0000;54;;;
250511;0000;38;;;
250512;0000;47;;;
250513;0000;58;;;
250514;0000;51;;;
250515;0000;64;;;
250516;0000;62;;;
250517;0000;41;;;
250518;0000;46;;;
250519;0000;26;;;
250520;0000;36;;;
250521;0000;32;;;
250522;0000;57;;;
250523;0000;64;;;
250524;0000;69;;;
250525;0000;45;;;
250526;0000;15;;;
250527;0000;10;;;
250528;0000;46;;;
250529;0000;42;;;
250530;0000;34;;;
250531;0000;54;;;
250601;0000;64;;;
250602;0000;60;;;
250603;0000;81;;;
250604;0000;74;;;
250605;0000;84;;;
250606;0000;62;;;
250607;0000;72;;;
250608;0000;100;;;
250609;0000;60;;;
250610;0000;43;;;
250611;0000;41;;;
250612;0000;27;;;
250613;0000;37;;;
250614;0000;39;;;
250615;0000;32;;;
250616;0000;13;;;
250617;0000;37;;;
250618;0000;50;;;
250619;0000;55;;;
250620;0000;54;;;
250621;0000;55;;;
250622;0000;19;;;
250623;0000;28;;;
250624;0000;38;;;
250625;0000;32;;;
250626;0000;39;;;
250627;0000;54;;;
250628;0000;54;;;
250629;0000;71;;;
250630;0000;66;;;
250701;0000;69;;;
250702;0000;61;;;
250703;0000;52;;;
250704;0000;43;;;
250705;0000;36;;;
250706;0000;26;;;
250707;0000;36;;;
250708;0000;42;;;
250709;0000;40;;;
250710;0000;67;;;
250711;0000;83;;;
250712;0000;97;;;
250713;0000;79;;;
250714;0000;66;;;
250715;0000;72;;;
250716;0000;59;;;
250717;0000;62;;;
250718;0000;53;;;
250719;0000;55;;;
250720;0000;62;;;
250721;0000;62;;;
250722;0000;61;;;
250723;0000;48;;;
250724;0000;37;;;
250725;0000;53;;;
250726;0000;71;;;
250727;0000;66;;;
250728;0000;60;;;
250729;0000;50;;;
250730;0000;34;;;
250731;0000;16;;;
250801;0000;;8;;
250802;0000;;19;;
250803;0000;;51;;
250804;0000;;44;;
250805;0000;;36;;
250806;0000;;30;;
250807;0000;;36;;
250808;0000;;52;;
250809;0000;;24;;
250810;0000;;47;;
250811;0000;;50;;
250812;0000;;36;;
250813;0000;;46;;
250814;0000;;34;;
250815;0000;;9;;
250816;0000;;17;;
250817;0000;;27;;
250818;0000;;29;;
250819;0000;;16;;
250820;0000;;20;;
250821;0000;;7;;
250822;0000;;6;;
250823;0000;;23;;
250824;0000;;34;;
250825;0000;;29;;
250826;0000;;38;;
250827;0000;;42;;
250828;0000;;26;;
250829;0000;;14;;
250830;0000;;19;;
250831;0000;;32;;
