FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
011223;0000;30,0417;;;
011224;0000;29,25;;;
011225;0000;26,1667;;;
011226;0000;21,125;;;
011227;0000;26,4583;;;
011228;0000;34,6667;;;
011229;0000;27,5;;;
011230;0000;24,5417;;;
011231;0000;22,6667;;;
020101;0000;14,4167;;;
020102;0000;12,1667;;;
020103;0000;14,5;;;
020104;0000;16,8333;;;
020105;0000;23,9583;;;
020106;0000;23,1667;;;
020107;0000;15,9167;;;
020108;0000;13,7083;;;
020109;0000;24,2083;;;
020110;0000;19,2917;;;
020111;0000;20,2917;;;
020112;0000;18,9167;;;
020113;0000;12,7083;;;
020114;0000;22,4167;;;
020115;0000;24,625;;;
020116;0000;23,3182;;;
020117;0000;23,1667;;;
020118;0000;23,625;;;
020119;0000;19,4583;;;
020120;0000;21,4583;;;
020121;0000;20,375;;;
020122;0000;20;;;
020123;0000;23,625;;;
020124;0000;22,1667;;;
020125;0000;14,3333;;;
020126;0000;10,4167;;;
020127;0000;15,9167;;;
020128;0000;16,2083;;;
020129;0000;18,0909;;;
020130;0000;19,7917;;;
020131;0000;34,0416;;;
020201;0000;42,4166;;;
020202;0000;38,6666;;;
020203;0000;26,5833;;;
020204;0000;19,9167;;;
020205;0000;25,2917;;;
020206;0000;20,2857;;;
020207;0000;20,375;;;
020208;0000;15,4583;;;
020209;0000;17,2083;;;
020210;0000;13,25;;;
020211;0000;18,875;;;
020212;0000;24,7917;;;
020213;0000;56,9444;;;
020214;0000;33,9583;;;
020215;0000;29,25;;;
020216;0000;28,625;;;
020217;0000;22,875;;;
020218;0000;25,2083;;;
020219;0000;28,4583;;;
020220;0000;31,3333;;;
020221;0000;26,75;;;
020222;0000;29,5;;;
020223;0000;29,4583;;;
020224;0000;27,6667;;;
020225;0000;27,5;;;
020226;0000;28,5;;;
020227;0000;24,1667;;;
020228;0000;20,0833;;;
020301;0000;27,4583;;;
020302;0000;23,75;;;
020303;0000;17,6667;;;
020304;0000;24,7619;;;
020305;0000;29,2917;;;
020306;0000;27,4583;;;
020307;0000;19,3333;;;
020308;0000;19,75;;;
020309;0000;25,4167;;;
020310;0000;17,0833;;;
020311;0000;21,6667;;;
020312;0000;36,1666;;;
020313;0000;30,2917;;;
020314;0000;25,125;;;
020315;0000;26,2917;;;
020316;0000;21,0833;;;
020317;0000;26,9583;;;
020318;0000;21,75;;;
020319;0000;23,7143;;;
020320;0000;29,8333;;;
020321;0000;24,5417;;;
020322;0000;33,5416;;;
020323;0000;33,7916;;;
020324;0000;26,4583;;;
020325;0000;19;;;
020326;0000;30,1667;;;
020327;0000;29;;;
020328;0000;21,3333;;;
020329;0000;9,19048;;;
020330;0000;18,8333;;;
020331;0000;26;;;
020401;0000;26,375;;;
020402;0000;30,5;;;
020403;0000;36,8333;;;
020404;0000;41,5833;;;
020405;0000;40,75;;;
020406;0000;19,5833;;;
020407;0000;25,2917;;;
020408;0000;19;;;
020409;0000;27,4583;;;
020410;0000;;;;
020411;0000;20,5833;;;
020412;0000;21,2857;;;
020413;0000;32,75;;;
020414;0000;16,7083;;;
020415;0000;37,875;;;
020416;0000;26,625;;;
020417;0000;45,1666;;;
020418;0000;52,5416;;;
020419;0000;51,1666;;;
020420;0000;44,5;;;
020421;0000;41,0416;;;
020422;0000;40,5833;;;
020423;0000;65,9583;;;
